"Time (s)"	"X (hPa)"
-5.370917500E-1	9.705900574E2
4.949752500E-1	9.705895996E2
1.527115250E0	9.705900574E2
2.559174250E0	9.705902100E2
3.591263250E0	9.705926514E2
4.623290250E0	9.705940247E2
4.762279250E0	9.705944824E2
5.717828250E0	9.705950165E2
6.673327250E0	9.705957031E2
7.628881250E0	9.705960083E2
8.584436250E0	9.705960083E2
9.540023250E0	9.705962372E2
1.049557625E1	9.705963135E2
1.145109825E1	9.705966949E2
1.240660825E1	9.705981445E2
1.336207625E1	9.705984497E2
1.431731525E1	9.705998993E2
1.527285125E1	9.706010437E2
1.622845125E1	9.706013489E2
1.718401025E1	9.706017303E2
1.813963425E1	9.706027222E2
1.909518525E1	9.706028748E2
2.005071725E1	9.706033325E2
2.100622325E1	9.706051636E2
2.196174925E1	9.706060028E2
2.291726325E1	9.706079102E2
2.387287325E1	9.706097412E2
2.482836925E1	9.706109619E2
2.578393125E1	9.706121826E2
2.673958825E1	9.706124878E2
2.769515425E1	9.706133270E2
2.865071725E1	9.706146240E2
2.960627925E1	9.706158447E2
3.056191725E1	9.706162262E2
3.151761525E1	9.706163788E2
3.247330525E1	9.706165314E2
3.342894425E1	9.706166077E2
3.438461725E1	9.706171417E2
3.534044125E1	9.706179047E2
3.629619025E1	9.706202698E2
3.725198925E1	9.706224823E2
3.820761925E1	9.706242371E2
3.916324925E1	9.706273651E2
4.011904025E1	9.706301117E2
4.107484625E1	9.706317139E2
4.203061625E1	9.706320953E2
4.298640625E1	9.706320953E2
4.394224925E1	9.706295013E2
4.489801225E1	9.706262207E2
4.585379025E1	9.706225586E2
4.680961025E1	9.706188202E2
4.776546825E1	9.706149292E2
4.872129225E1	9.706114960E2
4.967717425E1	9.706093597E2
5.063309325E1	9.706061554E2
5.158887125E1	9.706042480E2
5.254474525E1	9.706016541E2
5.350065525E1	9.705997467E2
5.445657125E1	9.705971527E2
5.541244325E1	9.705948639E2
5.636840725E1	9.705924988E2
5.732430925E1	9.705921936E2
5.828022025E1	9.705915833E2
5.923623125E1	9.705915833E2
6.019217125E1	9.705915833E2
6.114822925E1	9.705920410E2
6.210423825E1	9.705921936E2
6.306017625E1	9.705920410E2
6.401618025E1	9.705913544E2
6.497210725E1	9.705902100E2
6.592808225E1	9.705881500E2
6.688402625E1	9.705854797E2
6.784003225E1	9.705829620E2
6.879592225E1	9.705811310E2
6.975188925E1	9.705794525E2
7.070798725E1	9.705780792E2
7.166396425E1	9.705772400E2
7.262000525E1	9.705769348E2
7.357603925E1	9.705769348E2
7.453214925E1	9.705780792E2
7.548823825E1	9.705796051E2
7.644433925E1	9.705819702E2
7.740048525E1	9.705847168E2
7.835657725E1	9.705870056E2
7.931266225E1	9.705883026E2
8.026874825E1	9.705895996E2
8.122489225E1	9.705910492E2
8.218110725E1	9.705924988E2
8.313720425E1	9.705933380E2
8.409333125E1	9.705933380E2
8.504947225E1	9.705928802E2
8.600559125E1	9.705928040E2
8.696174125E1	9.705916595E2
8.791792325E1	9.705897522E2
8.887407725E1	9.705892181E2
8.983035425E1	9.705892181E2
9.078659925E1	9.705902863E2
9.174279525E1	9.705911255E2
9.269904825E1	9.705926514E2
9.365525825E1	9.705944824E2
9.461155725E1	9.705968475E2
9.556785725E1	9.706005096E2
9.652423425E1	9.706064606E2
9.748059225E1	9.706113434E2
9.843698925E1	9.706154633E2
9.939339025E1	9.706169891E2
1.003497892E2	9.706169891E2
1.013061802E2	9.706145477E2
1.022626732E2	9.706145477E2
1.032191332E2	9.706179047E2
1.041755692E2	9.706220245E2
1.051319662E2	9.706268311E2
1.060884372E2	9.706309509E2
1.070448752E2	9.706345367E2
1.080013382E2	9.706361389E2
1.089578262E2	9.706369781E2
1.099141442E2	9.706374359E2
1.108705552E2	9.706385040E2
1.118268932E2	9.706393433E2
1.127832992E2	9.706409454E2
1.137396062E2	9.706420898E2
1.146961322E2	9.706439209E2
1.156527502E2	9.706440735E2
1.166092372E2	9.706440735E2
1.175658522E2	9.706427002E2
1.185224182E2	9.706403351E2
1.194789642E2	9.706375885E2
1.204356302E2	9.706330872E2
1.213923952E2	9.706302643E2
1.223490602E2	9.706275940E2
1.233057692E2	9.706256866E2
1.242624892E2	9.706246948E2
1.252192262E2	9.706246948E2
1.261759562E2	9.706248474E2
1.271326952E2	9.706250763E2
1.280895212E2	9.706255341E2
1.290462872E2	9.706270599E2
1.300030812E2	9.706283569E2
1.309598642E2	9.706294250E2
1.319167192E2	9.706303406E2
1.328736362E2	9.706307220E2
1.338304572E2	9.706311035E2
1.347872292E2	9.706319427E2
1.357439062E2	9.706346130E2
1.367007632E2	9.706378174E2
1.376575862E2	9.706413269E2
1.386144202E2	9.706452179E2
1.395712442E2	9.706483459E2
1.405280682E2	9.706501007E2
1.414848102E2	9.706515503E2
1.424416002E2	9.706538391E2
1.433983782E2	9.706552124E2
1.443552572E2	9.706560516E2
1.453121742E2	9.706560516E2
1.462691162E2	9.706507874E2
1.472260742E2	9.706456757E2
1.481830642E2	9.706411743E2
1.491400522E2	9.706369781E2
1.500969722E2	9.706369781E2
1.510540332E2	9.706387329E2
1.520109882E2	9.706439972E2
1.529680902E2	9.706484985E2
1.539251082E2	9.706522369E2
1.548822412E2	9.706581879E2
1.558393402E2	9.706581879E2
1.567964092E2	9.706576538E2
1.577535702E2	9.706542969E2
1.587106982E2	9.706481934E2
1.596678602E2	9.706368256E2
1.606251092E2	9.706267548E2
1.615822992E2	9.706196594E2
1.625394722E2	9.706114197E2
1.634967252E2	9.706055450E2
1.644539312E2	9.706044006E2
1.654111922E2	9.706044006E2
1.663687122E2	9.706047058E2
1.673261242E2	9.706080627E2
1.682834972E2	9.706134033E2
1.692408712E2	9.706166077E2
1.701981592E2	9.706182861E2
1.711555422E2	9.706195068E2
1.721129102E2	9.706198120E2
1.730702452E2	9.706198120E2
1.740276122E2	9.706187439E2
1.749849282E2	9.706187439E2
1.759422882E2	9.706185150E2
1.768996642E2	9.706182098E2
1.778570722E2	9.706179047E2
1.788145142E2	9.706171417E2
1.797720092E2	9.706134796E2
1.807294872E2	9.706066132E2
1.816869812E2	9.706004333E2
1.826445532E2	9.705928040E2
1.836022142E2	9.705867767E2
1.845599242E2	9.705841064E2
1.855175222E2	9.705833435E2
1.864752382E2	9.705830383E2
1.874328262E2	9.705825806E2
1.883904672E2	9.705830383E2
1.893480122E2	9.705839539E2
1.903055992E2	9.705859375E2
1.912632282E2	9.705889893E2
1.922207582E2	9.705923462E2
1.931784112E2	9.705923462E2
1.941361582E2	9.705922699E2
1.950938992E2	9.705879211E2
1.960515952E2	9.705812073E2
1.970093472E2	9.705751801E2
1.979670622E2	9.705714417E2
1.989248052E2	9.705712128E2
1.998824852E2	9.705712128E2
2.008402352E2	9.705718994E2
2.017979292E2	9.705726624E2
2.027556462E2	9.705729675E2
2.037134792E2	9.705729675E2
2.046712862E2	9.705725861E2
2.056292072E2	9.705725861E2
2.065872842E2	9.705738831E2
2.075453602E2	9.705751038E2
2.085032842E2	9.705785370E2
2.094613342E2	9.705825806E2
2.104193412E2	9.705887604E2
2.113774312E2	9.705939484E2
2.123354512E2	9.705994415E2
2.132935072E2	9.706034088E2
2.142517202E2	9.706082153E2
2.152098592E2	9.706119537E2
2.161679512E2	9.706140137E2
2.171260882E2	9.706149292E2
2.180844652E2	9.706149292E2
2.190429962E2	9.706145477E2
2.200012262E2	9.706126404E2
2.209595052E2	9.706122589E2
2.219177032E2	9.706110382E2
2.228759882E2	9.706082153E2
2.238343062E2	9.706052399E2
2.247926522E2	9.706016541E2
2.257509762E2	9.705973816E2
2.267093862E2	9.705929565E2
2.276678272E2	9.705913544E2
2.286262992E2	9.705893707E2
2.295847382E2	9.705877686E2
2.305430872E2	9.705858612E2
2.315014012E2	9.705844116E2
2.324598082E2	9.705821228E2
2.334183352E2	9.705821228E2
2.343769382E2	9.705824280E2
2.353355672E2	9.705851746E2
2.362942272E2	9.705886841E2
2.372527612E2	9.705921173E2
2.382113852E2	9.705944061E2
2.391699712E2	9.705972290E2
2.401286662E2	9.705984497E2
2.410872962E2	9.706001282E2
2.420460162E2	9.706006622E2
2.430047662E2	9.706006622E2
2.439635002E2	9.705986786E2
2.449222992E2	9.705940247E2
2.458811702E2	9.705880737E2
2.468401032E2	9.705827332E2
2.477990302E2	9.705793762E2
2.487579902E2	9.705793762E2
2.497169762E2	9.705796814E2
2.506759342E2	9.705841064E2
2.516349222E2	9.705884552E2
2.525939112E2	9.705939484E2
2.535529282E2	9.705973816E2
2.545120542E2	9.705995941E2
2.554712332E2	9.706001282E2
2.564302792E2	9.706001282E2
2.573893642E2	9.705980682E2
2.583485022E2	9.705960846E2
2.593075122E2	9.705953979E2
2.602665642E2	9.705953217E2
2.612256612E2	9.705953217E2
2.621847732E2	9.705957031E2
2.631439912E2	9.705957031E2
2.641034692E2	9.705950928E2
2.650629472E2	9.705931854E2
2.660223032E2	9.705918884E2
2.669817812E2	9.705916595E2
2.679413802E2	9.705916595E2
2.689009832E2	9.705935669E2
2.698606142E2	9.705961609E2
2.708203082E2	9.705988312E2
2.717800402E2	9.706013489E2
2.727397682E2	9.706028748E2
2.736995822E2	9.706037903E2
2.746591542E2	9.706040192E2
2.756186952E2	9.706040192E2
2.765782352E2	9.706037140E2
2.775379342E2	9.706029510E2
2.784976312E2	9.706002808E2
2.794573482E2	9.705973816E2
2.804171332E2	9.705946350E2
2.813768512E2	9.705915833E2
2.823366372E2	9.705915833E2
2.832963662E2	9.705918121E2
2.842561812E2	9.705959320E2
2.852160672E2	9.706009674E2
2.861760272E2	9.706095123E2
2.871360542E2	9.706178284E2
2.880960882E2	9.706237793E2
2.890561882E2	9.706294250E2
2.900162502E2	9.706297302E2
2.909763432E2	9.706297302E2
2.919364662E2	9.706248474E2
2.928965542E2	9.706179047E2
2.938567712E2	9.706060028E2
2.948169582E2	9.705919647E2
2.957771892E2	9.705783844E2
2.967374672E2	9.705656433E2
2.976977742E2	9.705563354E2
2.986580742E2	9.705524445E2
2.996183772E2	9.705524445E2
3.005787352E2	9.705551147E2
3.015390382E2	9.705585480E2
3.024993652E2	9.705585480E2
3.034597222E2	9.705571747E2
3.044201862E2	9.705535889E2
3.053806582E2	9.705487061E2
3.063412072E2	9.705458069E2
3.073018542E2	9.705455017E2
3.082624522E2	9.705455017E2
3.092231852E2	9.705458069E2
3.101839472E2	9.705466461E2
3.111446822E2	9.705466461E2
3.121055062E2	9.705451202E2
3.130662942E2	9.705451202E2
3.140271752E2	9.705473328E2
3.149880242E2	9.705477905E2
3.159489342E2	9.705509186E2
3.169098252E2	9.705567932E2
3.178707462E2	9.705581665E2
3.188316572E2	9.705591583E2
3.197926392E2	9.705600739E2
3.207535602E2	9.705628967E2
3.217145682E2	9.705653381E2
3.226756392E2	9.705687714E2
3.236368622E2	9.705738068E2
3.245979592E2	9.705778503E2
3.255588112E2	9.705802917E2
3.265196882E2	9.705842590E2
3.274806332E2	9.705877686E2
3.284415872E2	9.705889893E2
3.294025562E2	9.705892181E2
3.303636512E2	9.705892181E2
3.313246902E2	9.705878448E2
3.322860662E2	9.705844879E2
3.332475282E2	9.705820465E2
3.342089942E2	9.705818939E2
3.351705472E2	9.705818939E2
3.361319162E2	9.705834198E2
3.370931302E2	9.705865479E2
3.380544382E2	9.705902863E2
3.390158402E2	9.705941772E2
3.399774532E2	9.705995941E2
3.409391702E2	9.706053925E2
3.419010362E2	9.706101227E2
3.428628302E2	9.706130981E2
3.438246522E2	9.706130981E2
3.447864372E2	9.706111145E2
3.457482652E2	9.706037140E2
3.467101562E2	9.705950165E2
3.476721142E2	9.705872345E2
3.486341502E2	9.705805969E2
3.495961402E2	9.705754089E2
3.505582462E2	9.705733490E2
3.515203432E2	9.705732727E2
3.524825082E2	9.705732727E2
3.534446242E2	9.705742645E2
3.544068502E2	9.705759430E2
3.553690232E2	9.705784607E2
3.563312622E2	9.705803680E2
3.572936202E2	9.705836487E2
3.582560932E2	9.705846405E2
3.592185362E2	9.705852509E2
3.601810672E2	9.705858612E2
3.611435452E2	9.705858612E2
3.621061762E2	9.705844879E2
3.630688402E2	9.705834198E2
3.640314572E2	9.705834198E2
3.649941092E2	9.705841064E2
3.659567862E2	9.705872345E2
3.669194802E2	9.705912018E2
3.678820292E2	9.705950165E2
3.688448562E2	9.705996704E2
3.698076442E2	9.706026459E2
3.707704662E2	9.706037903E2
3.717332742E2	9.706039429E2
3.726960662E2	9.706044769E2
3.736591182E2	9.706044769E2
3.746223782E2	9.706040955E2
3.755856462E2	9.706036377E2
3.765487812E2	9.706037140E2
3.775117702E2	9.706037140E2
3.784747932E2	9.706044006E2
3.794379122E2	9.706072998E2
3.804010812E2	9.706098938E2
3.813643572E2	9.706132507E2
3.823275872E2	9.706135559E2
3.832908812E2	9.706135559E2
3.842542132E2	9.706092072E2
3.852173392E2	9.706027222E2
3.861804552E2	9.705970764E2
3.871436092E2	9.705915833E2
3.881068402E2	9.705902863E2
3.890701072E2	9.705902863E2
3.900333062E2	9.705933380E2
3.909969642E2	9.705976105E2
3.919605352E2	9.706007385E2
3.929241992E2	9.706007385E2
3.938879102E2	9.705979156E2
3.948517332E2	9.705937195E2
3.958156062E2	9.705879211E2
3.967793732E2	9.705834198E2
3.977432792E2	9.705811310E2
3.987072302E2	9.705808258E2
3.996711682E2	9.705792999E2
4.006348252E2	9.705766296E2
4.015984852E2	9.705741119E2
4.025620772E2	9.705731964E2
4.035260412E2	9.705725861E2
4.044899472E2	9.705725861E2
4.054539672E2	9.705793762E2
4.064179962E2	9.705854034E2
4.073821802E2	9.705882263E2
4.083465892E2	9.705893707E2
4.093109592E2	9.705900574E2
4.102753522E2	9.705900574E2
4.112398302E2	9.705900574E2
4.122043172E2	9.705924988E2
4.131688222E2	9.705966949E2
4.141333702E2	9.705998993E2
4.150979622E2	9.706024170E2
4.160624712E2	9.706047058E2
4.170270452E2	9.706073761E2
4.179916242E2	9.706097412E2
4.189562362E2	9.706105804E2
4.199209412E2	9.706105804E2
4.208857172E2	9.706089020E2
4.218505912E2	9.706050873E2
4.228155512E2	9.706015015E2
4.237804162E2	9.706015015E2
4.247453402E2	9.706044769E2
4.257106322E2	9.706067657E2
4.266760072E2	9.706067657E2
4.276414692E2	9.706019592E2
4.286068212E2	9.705966949E2
4.295719702E2	9.705872345E2
4.305372062E2	9.705793762E2
4.315024812E2	9.705735016E2
4.324678392E2	9.705718231E2
4.334332732E2	9.705718231E2
4.343987082E2	9.705752563E2
4.353642032E2	9.705786896E2
4.363297002E2	9.705820465E2
4.372952802E2	9.705864716E2
4.382609562E2	9.705893707E2
4.392266002E2	9.705904388E2
4.401923342E2	9.705909729E2
4.411580092E2	9.705910492E2
4.421237812E2	9.705918884E2
4.430898262E2	9.705924225E2
4.440556472E2	9.705926514E2
4.450215332E2	9.705940247E2
4.459874602E2	9.705950928E2
4.469535952E2	9.705973816E2
4.479197782E2	9.706002045E2
4.488859812E2	9.706030273E2
4.498521432E2	9.706048584E2
4.508184582E2	9.706048584E2
4.517847522E2	9.706045532E2
4.527512212E2	9.706045532E2
4.537176292E2	9.706050110E2
4.546839822E2	9.706053162E2
4.556504852E2	9.706062317E2
4.566169462E2	9.706092072E2
4.575835092E2	9.706125641E2
4.585500952E2	9.706158447E2
4.595167372E2	9.706158447E2
4.604831432E2	9.706146240E2
4.614495052E2	9.706085968E2
4.624159802E2	9.705982971E2
4.633825362E2	9.705856323E2
4.643490642E2	9.705744171E2
4.653156412E2	9.705655670E2
4.662821732E2	9.705585480E2
4.672487432E2	9.705541992E2
4.682153442E2	9.705528259E2
4.691819842E2	9.705515289E2
4.701486682E2	9.705506897E2
4.711154172E2	9.705506897E2
4.720821062E2	9.705520630E2
4.730488522E2	9.705551147E2
4.740156612E2	9.705580902E2
4.749824372E2	9.705622101E2
4.759492432E2	9.705670929E2
4.769157082E2	9.705706024E2
4.778822202E2	9.705715942E2
4.788487472E2	9.705728912E2
4.798155532E2	9.705738831E2
4.807825202E2	9.705738831E2
4.817494222E2	9.705720520E2
4.827163812E2	9.705694580E2
4.836833752E2	9.705665588E2
4.846503632E2	9.705632782E2
4.856174962E2	9.705616760E2
4.865848282E2	9.705616760E2
4.875521792E2	9.705618286E2
4.885196052E2	9.705655670E2
4.894870642E2	9.705687714E2
4.904544652E2	9.705725861E2
4.914218502E2	9.705754089E2
4.923892102E2	9.705776215E2
4.933566142E2	9.705778503E2
4.943238552E2	9.705778503E2
4.952915472E2	9.705780792E2
4.962590542E2	9.705796051E2
4.972264752E2	9.705803680E2
4.981939042E2	9.705804443E2
4.991612992E2	9.705804443E2
5.001286562E2	9.705799103E2
5.010958982E2	9.705799103E2
5.020634112E2	9.705805206E2
5.030308912E2	9.705809784E2
5.039984262E2	9.705838013E2
5.049659692E2	9.705862427E2
5.059335102E2	9.705876923E2
5.069010512E2	9.705887604E2
5.078686512E2	9.705905151E2
5.088362182E2	9.705905151E2
5.098038492E2	9.705903625E2
5.107714892E2	9.705892944E2
5.117390872E2	9.705879974E2
5.127066852E2	9.705867004E2
5.136743172E2	9.705864716E2
5.146419072E2	9.705864716E2
5.156096292E2	9.705882263E2
5.165775082E2	9.705888367E2
5.175455092E2	9.705888367E2
5.185135362E2	9.705882263E2
5.194815732E2	9.705876160E2
5.204493312E2	9.705854034E2
5.214171472E2	9.705838776E2
5.223850312E2	9.705838013E2
5.233530372E2	9.705837250E2
5.243212202E2	9.705838013E2
5.252895802E2	9.705844116E2
5.262578272E2	9.705844879E2
5.272260682E2	9.705853271E2
5.281944342E2	9.705863953E2
5.291627342E2	9.705876160E2
5.301311212E2	9.705901337E2
5.310994922E2	9.705917358E2
5.320678712E2	9.705928040E2
5.330363032E2	9.705928040E2
5.340047642E2	9.705918884E2
5.349731572E2	9.705902863E2
5.359415812E2	9.705886078E2
5.369100082E2	9.705871582E2
5.378783842E2	9.705870056E2
5.388468402E2	9.705865479E2
5.398151132E2	9.705857849E2
5.407833882E2	9.705857849E2
5.417516592E2	9.705857849E2
5.427200292E2	9.705858612E2
5.436882602E2	9.705858612E2
5.446565922E2	9.705855560E2
5.456249842E2	9.705854034E2
5.465933812E2	9.705842590E2
5.475618442E2	9.705831146E2
5.485304942E2	9.705831146E2
5.494991352E2	9.705835724E2
5.504677442E2	9.705844879E2
5.514364162E2	9.705859375E2
5.524049622E2	9.705868530E2
5.533735742E2	9.705869293E2
5.543421962E2	9.705873871E2
5.553108692E2	9.705879974E2
5.562795612E2	9.705884552E2
5.572482582E2	9.705898285E2
5.582168962E2	9.705910492E2
5.591853162E2	9.705924225E2
5.601537642E2	9.705929565E2
5.611221962E2	9.705929565E2
5.620903102E2	9.705922699E2
5.630582702E2	9.705908966E2
5.640263262E2	9.705900574E2
5.649942562E2	9.705900574E2
5.659622142E2	9.705904388E2
5.669301792E2	9.705907440E2
5.678980062E2	9.705912018E2
5.688660632E2	9.705928040E2
5.698341572E2	9.705928802E2
5.708022752E2	9.705928802E2
5.717702502E2	9.705945587E2
5.727381412E2	9.705970764E2
5.737060362E2	9.705976105E2
5.746739742E2	9.705982208E2
5.756418492E2	9.706004333E2
5.766095432E2	9.706020355E2
5.775772292E2	9.706041718E2
5.785449572E2	9.706085205E2
5.795126512E2	9.706126404E2
5.804804572E2	9.706157684E2
5.814482762E2	9.706174469E2
5.824162392E2	9.706174469E2
5.833842402E2	9.706153107E2
5.843523612E2	9.706127167E2
5.853206722E2	9.706106567E2
5.862891232E2	9.706077576E2
5.872575782E2	9.706042480E2
5.882259992E2	9.705997467E2
5.891945492E2	9.705955505E2
5.901630702E2	9.705919647E2
5.911316642E2	9.705870056E2
5.921002592E2	9.705838776E2
5.930687312E2	9.705826569E2
5.940372742E2	9.705801392E2
5.950058202E2	9.705786896E2
5.959744232E2	9.705776978E2
5.969430362E2	9.705774689E2
5.979116412E2	9.705749512E2
5.988805182E2	9.705728149E2
5.998493742E2	9.705710602E2
6.008183512E2	9.705688477E2
6.017872192E2	9.705654907E2
6.027560942E2	9.705641174E2
6.037249362E2	9.705631256E2
6.046937782E2	9.705620575E2
6.056624502E2	9.705611420E2
6.066309952E2	9.705604553E2
6.075995872E2	9.705593872E2
6.085681642E2	9.705593872E2
6.095367962E2	9.705603790E2
6.105053172E2	9.705620575E2
6.114738982E2	9.705630493E2
6.124424372E2	9.705653381E2
6.134110812E2	9.705667877E2
6.143795942E2	9.705672455E2
6.153482772E2	9.705678558E2
6.163168932E2	9.705672455E2
6.172856242E2	9.705677795E2
6.182542072E2	9.705676270E2
6.192229942E2	9.705677795E2
6.201917212E2	9.705686188E2
6.211604222E2	9.705693817E2
6.221291532E2	9.705693817E2
6.230978842E2	9.705693817E2
6.240665912E2	9.705690765E2
6.250353652E2	9.705674744E2